field_id,release_datetime_et,event,event_base_matched,A,C,raw_surprise
unemployment_rate,2011-08-05 08:30:00,Unemployment Rate,Unemployment Rate,9.1,9.2,-0.09999999999999964
retail_sales,2011-08-12 08:30:00,Retail Sales (MoM),Retail Sales (MoM),0.5,0.5,0.0
building_permits,2011-08-16 08:30:00,Building Permits,Building Permits,597000.0,610000.0,-13000.0
housing_starts,2011-08-16 08:30:00,Housing Starts,Housing Starts,600000.0,600000.0,0.0
industrial_production,2011-08-16 09:15:00,Industrial Production (MoM),Industrial Production (MoM),0.9,0.5,0.4
ppi,2011-08-17 08:30:00,PPI (MoM),PPI (MoM),0.2,0.1,0.1
existing_home_sales,2011-08-18 10:00:00,Existing Home Sales,Existing Home Sales,4670000.0,4900000.0,-230000.0
new_home_sales,2011-08-23 10:00:00,New Home Sales,New Home Sales,298000.0,310000.0,-12000.0
durable_goods,2011-08-24 08:30:00,Durable Goods Orders (MoM),Durable Goods Orders (MoM),4.0,2.0,2.0
real_gdp_advance,2011-08-26 08:30:00,GDP (QoQ),GDP (QoQ),1.0,1.1,-0.10000000000000009
ism_manufacturing,2011-09-01 10:00:00,ISM Manufacturing PMI,ISM Manufacturing PMI,50.6,48.5,2.1000000000000014
nonfarm_payrolls,2011-09-02 08:30:00,Nonfarm Payrolls,Nonfarm Payrolls,0.0,74000.0,-74000.0
unemployment_rate,2011-09-02 08:30:00,Unemployment Rate,Unemployment Rate,9.1,9.1,0.0
ism_services,2011-09-06 10:00:00,ISM Non-Manufacturing PMI,ISM Non-Manufacturing PMI,53.3,51.0,2.299999999999997
ppi,2011-09-14 08:30:00,PPI (MoM),PPI (MoM),0.0,0.0,0.0
retail_sales,2011-09-14 08:30:00,Retail Sales (MoM),Retail Sales (MoM),0.0,0.2,-0.2
industrial_production,2011-09-15 09:15:00,Industrial Production (MoM),Industrial Production (MoM),0.2,0.1,0.1
building_permits,2011-09-20 08:30:00,Building Permits,Building Permits,620000.0,590000.0,30000.0
housing_starts,2011-09-20 08:30:00,Housing Starts,Housing Starts,570000.0,590000.0,-20000.0
existing_home_sales,2011-09-21 10:00:00,Existing Home Sales,Existing Home Sales,5030000.0,4750000.0,280000.0
new_home_sales,2011-09-26 10:00:00,New Home Sales,New Home Sales,295000.0,293000.0,2000.0
durable_goods,2011-09-28 08:30:00,Durable Goods Orders (MoM),Durable Goods Orders (MoM),-0.1,-1.0,0.9
real_gdp_advance,2011-09-29 08:30:00,GDP (QoQ),GDP (QoQ),1.3,1.2,0.10000000000000009
ism_manufacturing,2011-10-03 10:00:00,ISM Manufacturing PMI,ISM Manufacturing PMI,51.6,50.5,1.1000000000000014
ism_services,2011-10-05 10:00:00,ISM Non-Manufacturing PMI,ISM Non-Manufacturing PMI,53.0,53.0,0.0
nonfarm_payrolls,2011-10-07 08:30:00,Nonfarm Payrolls,Nonfarm Payrolls,103000.0,53000.0,50000.0
unemployment_rate,2011-10-07 08:30:00,Unemployment Rate,Unemployment Rate,9.1,9.1,0.0
retail_sales,2011-10-14 08:30:00,Retail Sales (MoM),Retail Sales (MoM),1.1,0.5,0.6000000000000001
industrial_production,2011-10-17 09:15:00,Industrial Production (MoM),Industrial Production (MoM),0.2,0.2,0.0
ppi,2011-10-18 08:30:00,PPI (MoM),PPI (MoM),0.8,0.2,0.6000000000000001
building_permits,2011-10-19 08:30:00,Building Permits,Building Permits,594000.0,610000.0,-16000.0
housing_starts,2011-10-19 08:30:00,Housing Starts,Housing Starts,658000.0,590000.0,68000.0
existing_home_sales,2011-10-20 10:00:00,Existing Home Sales,Existing Home Sales,4910000.0,4900000.0,10000.0
durable_goods,2011-10-26 08:30:00,Durable Goods Orders (MoM),Durable Goods Orders (MoM),-0.8,-0.7,-0.10000000000000009
new_home_sales,2011-10-26 10:00:00,New Home Sales,New Home Sales,313000.0,300000.0,13000.0
real_gdp_advance,2011-10-27 08:30:00,GDP (QoQ),GDP (QoQ),2.5,2.4,0.10000000000000009
ism_manufacturing,2011-11-01 10:00:00,ISM Manufacturing PMI,ISM Manufacturing PMI,50.8,52.1,-1.3000000000000043
ism_services,2011-11-03 10:00:00,ISM Non-Manufacturing PMI,ISM Non-Manufacturing PMI,52.9,53.7,-0.8000000000000043
nonfarm_payrolls,2011-11-04 08:30:00,Nonfarm Payrolls,Nonfarm Payrolls,80000.0,95000.0,-15000.0
unemployment_rate,2011-11-04 08:30:00,Unemployment Rate,Unemployment Rate,9.0,9.1,-0.09999999999999964
ppi,2011-11-15 08:30:00,PPI (MoM),PPI (MoM),-0.3,-0.2,-0.09999999999999998
retail_sales,2011-11-15 08:30:00,Retail Sales (MoM),Retail Sales (MoM),0.5,0.4,0.09999999999999998
industrial_production,2011-11-16 09:15:00,Industrial Production (MoM),Industrial Production (MoM),0.7,0.4,0.29999999999999993
building_permits,2011-11-17 08:30:00,Building Permits,Building Permits,653000.0,600000.0,53000.0
housing_starts,2011-11-17 08:30:00,Housing Starts,Housing Starts,628000.0,610000.0,18000.0
existing_home_sales,2011-11-21 10:00:00,Existing Home Sales,Existing Home Sales,4970000.0,4800000.0,170000.0
real_gdp_advance,2011-11-22 08:30:00,GDP (QoQ),GDP (QoQ),2.0,2.5,-0.5
durable_goods,2011-11-23 08:30:00,Durable Goods Orders (MoM),Durable Goods Orders (MoM),-0.7,-1.2,0.5
new_home_sales,2011-11-28 10:00:00,New Home Sales,New Home Sales,307000.0,312000.0,-5000.0
ism_manufacturing,2011-12-01 10:00:00,ISM Manufacturing PMI,ISM Manufacturing PMI,52.7,51.5,1.2000000000000028
nonfarm_payrolls,2011-12-02 08:30:00,Nonfarm Payrolls,Nonfarm Payrolls,120000.0,120000.0,0.0
unemployment_rate,2011-12-02 08:30:00,Unemployment Rate,Unemployment Rate,8.6,9.0,-0.40000000000000036
ism_services,2011-12-05 10:00:00,ISM Non-Manufacturing PMI,ISM Non-Manufacturing PMI,52.0,53.4,-1.3999999999999986
retail_sales,2011-12-13 08:30:00,Retail Sales (MoM),Retail Sales (MoM),0.2,0.6,-0.39999999999999997
ppi,2011-12-15 08:30:00,PPI (MoM),PPI (MoM),0.3,0.3,0.0
industrial_production,2011-12-15 09:15:00,Industrial Production (MoM),Industrial Production (MoM),-0.2,0.3,-0.5
building_permits,2011-12-20 08:30:00,Building Permits,Building Permits,681000.0,630000.0,51000.0
housing_starts,2011-12-20 08:30:00,Housing Starts,Housing Starts,685000.0,640000.0,45000.0
existing_home_sales,2011-12-21 10:00:00,Existing Home Sales,Existing Home Sales,4420000.0,5030000.0,-610000.0
real_gdp_advance,2011-12-22 08:30:00,GDP (QoQ),GDP (QoQ),1.8,2.0,-0.19999999999999996
durable_goods,2011-12-23 08:30:00,Durable Goods Orders (MoM),Durable Goods Orders (MoM),3.8,2.2,1.5999999999999996
new_home_sales,2011-12-23 10:00:00,New Home Sales,New Home Sales,315000.0,313000.0,2000.0
ism_manufacturing,2012-01-03 10:00:00,ISM Manufacturing PMI,ISM Manufacturing PMI,53.9,53.2,0.6999999999999957
ism_services,2012-01-05 10:00:00,ISM Non-Manufacturing PMI,ISM Non-Manufacturing PMI,52.6,53.0,-0.3999999999999986
nonfarm_payrolls,2012-01-06 08:30:00,Nonfarm Payrolls,Nonfarm Payrolls,200000.0,150000.0,50000.0
